agency,url
Department of Agriculture,https://github.com/GrainGenes
Department of Agriculture,https://github.com/usda
Department of Agriculture,https://github.com/usda-ars-agil
Department of Agriculture,https://github.com/usda-ars-gbru
Department of Agriculture,https://github.com/usda-ars-ltar
Department of Agriculture,https://github.com/usda-ars-nwrc
Department of Agriculture,https://github.com/usda-ars-wmsru
Department of Agriculture,https://github.com/USDA-ERS
Department of Agriculture,https://github.com/USDA-FSA
Department of Agriculture,https://github.com/USDA-NIFA
Department of Agriculture,https://github.com/usda-vs
Department of Agriculture,https://github.com/usdaForestService
Department of Agriculture,https://github.com/WFMRDA
Department of Commerce,https://github.com/businessusa
Department of Commerce,https://github.com/commercedataservice
Department of Commerce,https://github.com/commercegov
Department of Commerce,https://github.com/internationaltradeadministration
Department of Commerce,https://github.com/ioos
Department of Commerce,https://github.com/nesii
Department of Commerce,https://github.com/NMML
Department of Commerce,https://github.com/noaa-gfdl
Department of Commerce,https://github.com/NOAA-ORR-ERD
Department of Commerce,https://github.com/ntia
Department of Commerce,https://github.com/SelectUSA
Department of Commerce,https://github.com/us-bea
Department of Commerce,https://github.com/uscensusbureau
Department of Commerce,https://github.com/useda
Department of Commerce,https://github.com/USPTO
Department of Commerce,https://github.com/XDgov
Department of Defense,https://github.com/adl-aicc
Department of Defense,https://github.com/adlnet
Department of Defense,https://github.com/afrl
Department of Defense,https://github.com/afseo
Department of Defense,https://github.com/deptofdefense
Department of Defense,https://github.com/erdc-itl
Department of Defense,https://github.com/iadgov
Department of Defense,https://github.com/info-sharing-environment
Department of Defense,https://github.com/M-O-S-E-S
Department of Defense,https://github.com/missioncommand
Department of Defense,https://github.com/NationalGuard
Department of Defense,https://github.com/NationalSecurityAgency
Department of Defense,https://github.com/ngageoint
Department of Defense,https://github.com/nsacyber
Department of Defense,https://github.com/project-interoperability
Department of Defense,https://github.com/psns-imf
Department of Defense,https://github.com/redhawksdr
Department of Defense,https://github.com/screamlab
Department of Defense,https://github.com/usarmyresearchlab
Department of Defense,https://github.com/USNavalResearchLaboratory
Department of Defense,https://github.com/virtual-world-framework
Department of Education,https://github.com/Federal-Aviation-Administration
Department of Education,https://github.com/IMDProjects
Department of Education,https://github.com/usdot-fhwa-stol
Department of Education,https://github.com/usdot-jpo-ode
Department of Energy,https://github.com/doecode
Department of Energy,https://github.com/energyapps
Department of Energy,https://github.com/llnl
Department of Energy,https://github.com/ngds
Department of Energy,https://github.com/petsc
Department of Health and Human Services,https://github.com/blue-button
Department of Health and Human Services,https://github.com/CDCgov
Department of Health and Human Services,https://github.com/cmsgov
Department of Health and Human Services,https://github.com/demand-driven-open-data
Department of Health and Human Services,https://github.com/didsr
Department of Health and Human Services,https://github.com/fda
Department of Health and Human Services,https://github.com/hhs
Department of Health and Human Services,https://github.com/HHS-AHRQ
Department of Health and Human Services,https://github.com/HHSDigitalMediaAPIPlatform
Department of Health and Human Services,https://github.com/HHSIDEAlab
Department of Health and Human Services,https://github.com/informaticslab
Department of Health and Human Services,https://github.com/nhanes
Department of Health and Human Services,https://github.com/nidcd
Department of Housing and Urban Development,https://github.com/hudgov
Department of Homeland Security,https://github.com/cisagov
Department of Homeland Security,https://github.com/US-CBP
Department of Homeland Security,https://github.com/uscis
Department of Interior,https://github.com/arcticlcc
Department of Interior,https://github.com/nationalparkservice
Department of Interior,https://github.com/NCRN
Department of Interior,https://github.com/usbr
Department of Interior,https://github.com/USFWS
Department of Interior,https://github.com/usgs
Department of Interior,https://github.com/USGS-Astrogeology
Department of Interior,https://github.com/USGS-CIDA
Department of Interior,https://github.com/usgs-cmg
Department of Interior,https://github.com/usgs-eros
Department of Interior,https://github.com/USGS-OWI
Department of Interior,https://github.com/USGS-R
Department of Interior,https://github.com/USGS-WiM
Department of Interior,https://github.com/usinterior
Department of Justice,https://github.com/NIEM
Department of Justice,https://github.com/usdoj
Department of Labor,https://github.com/EEOC
Department of Labor,https://github.com/usdepartmentoflabor
Department of State,https://github.com/CA-CST-Library
Department of State,https://github.com/CA-CST-SII
Department of State,https://github.com/historyatstate
Department of State,https://github.com/IIP-Design
Department of State,https://github.com/state-hiu
Department of State,https://github.com/usstatedept
Department of Transportation,https://github.com/CA-CST-Library
Department of Transportation,https://github.com/CA-CST-SII
Department of Transportation,https://github.com/historyatstate
Department of Transportation,https://github.com/IIP-Design
Department of Transportation,https://github.com/state-hiu
Department of Transportation,https://github.com/usstatedept
Department of the Treasury,https://github.com/fedspendingtransparency
Department of the Treasury,https://github.com/IRSgov
Department of the Treasury,https://github.com/US-Department-of-the-Treasury
Department of Veterans Affairs,https://github.com/department-of-veterans-affairs
Department of Veterans Affairs,https://github.com/USDeptVeteransAffairs
Department of Veterans Affairs,https://github.com/VHAINNOVATIONS
Environmental Protection Agency,https://github.com/usedgov
Environmental Protection Agency,https://github.com/regulationsgov
Environmental Protection Agency,https://github.com/usepa
National Aeronautics and Space Administration,https://github.com/ccmc
National Aeronautics and Space Administration,https://github.com/globegit
National Aeronautics and Space Administration,https://github.com/keplergo
National Aeronautics and Space Administration,https://github.com/nasa
National Aeronautics and Space Administration,https://github.com/nasa-develop
National Aeronautics and Space Administration,https://github.com/nasa-gibs
National Aeronautics and Space Administration,https://github.com/NASA-rdt
National Aeronautics and Space Administration,https://github.com/nasa-tournament-lab
National Aeronautics and Space Administration,https://github.com/nasaworldwind
National Aeronautics and Space Administration,https://github.com/NeoGeographyToolkit
National Aeronautics and Space Administration,https://github.com/Open-Sat
National Aeronautics and Space Administration,https://github.com/SERVIR
National Aeronautics and Space Administration,https://github.com/sunpy
National Aeronautics and Space Administration,https://github.com/visionworkbench
Agency for International Development,https://github.com/usaid
General Services Administration,https://github.com/18f
General Services Administration,https://github.com/digital-analytics-program
General Services Administration,https://github.com/eregs
General Services Administration,https://github.com/government-services
General Services Administration,https://github.com/gsa
General Services Administration,https://github.com/gsa-oes
General Services Administration,https://github.com/Innovation-Toolkit
General Services Administration,https://github.com/opengovplatform
General Services Administration,https://github.com/presidential-innovation-fellows
General Services Administration,https://github.com/project-open-data
General Services Administration,https://github.com/sbstusa
General Services Administration,https://github.com/usagov
General Services Administration,https://github.com/usasearch
General Services Administration,https://github.com/usg-scope
National Science Foundation,https://github.com/nsf-open
Office of Personnel Management,https://github.com/usajobs
Small Business Administration,https://github.com/USSBA
Social Security Administration,https://github.com/SSAgov
Federal Election Commission,https://github.com/fecgov
